SCHOOLNAME,DISTrictNUMBER,DISTRICTNAME,EMH,EMH_Combined,SCHOOLNUMBER,AEC_10,Charter,Online,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
WESTMINSTER ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,,9462,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,1,1405,1,1,2,1,3,4,2,8,1,
HOPE ON-LINE,900,DOUGLAS COUNTY RE 1,M,,3995,0,1,1,,,,1,0,1,1405,1,2,1,3,2,4,5,3,5,
MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,2535,MANZANOLA 3J,M,,5506,0,0,0,,,,1,0,1,1405,4,5,3,4,5,3,1,6,1,
VANGUARD CLASSICAL SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,9056,0,1,0,,,,1,0,1,1405,3,3,3,3,3,4,6,3,4,
COLORADO CONNECTIONS ACADEMY,10,MAPLETON 1,M,,1796,0,0,0,,,,1,0,1,1412,6,6,3,6,6,1,2,1,2,
BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,M,,822,0,0,0,,,,1,0,1,1413,3,4,1,5,4,1,2,1,4,
THORNTON ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,8842,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,1,1414,1,1,5,1,2,5,2,7,2,
CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,M,,509,0,0,0,,,,1,0,1,1414,1,1,1,1,2,2,4,3,3,
BOSTON K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,914,0,0,0,,,,1,0,1,1414,2,1,4,1,1,3,3,3,6,
BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,E,,1150,0,0,0,,,,1,0,1,1414,6,6,6,6,6,1,1,1,3,
COLORADO VIRTUAL ACADEMY (COVA),20,ADAMS 12 FIVE STAR SCHOOLS,E,,1752,0,1,1,,,,1,0,1,1414,5,5,5,4,6,1,2,2,1,
LAS ANIMAS MIDDLE SCHOOL,290,LAS ANIMAS RE-1,M,,4986,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,1,1419,5,6,3,6,5,1,1,1,1,
ESCUELA TLATELOLCO SCHOOL,880,DENVER COUNTY 1,M,,2789,0,0,0,,,,1,0,1,1419,,2,1,2,,3,6,1,4,
MRACHEK MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,6160,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1421,3,3,3,3,5,3,3,6,3,
KARVAL ONLINE EDUCATION,1810,KARVAL RE-23,M,,4504,0,0,1,,,,1,0,1,1422,1,4,1,4,1,1,6,1,1,
MARTIN LUTHER KING JR ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,,5602,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1423,6,6,6,5,6,1,2,3,1,
CESAR CHAVEZ ACADEMY,2690,PUEBLO CITY 60,E,,1488,0,1,0,,,,1,0,1,1423,6,6,6,6,6,1,3,1,1,
OAKLAND ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,5998,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1425,1,1,1,1,1,3,5,3,3,
FREDERICK ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,3192,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1426,6,5,6,5,6,1,2,3,2,
PUTNAM ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,7218,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1426,6,6,6,6,6,2,2,3,2,
ANTONITO JUNIOR HIGH SCHOOL,580,SOUTH CONEJOS RE-10,M,,250,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1428,3,5,1,5,5,1,3,1,1,
KEMPER ELEMENTARY SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,,4546,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1428,5,4,6,3,6,3,5,3,2,
NORTHEAST ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,,6395,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1430,5,5,6,6,5,1,1,1,1,
COLORADO VIRTUAL ACADEMY (COVA),20,ADAMS 12 FIVE STAR SCHOOLS,M,,1752,0,1,1,,,,1,0,1,1430,4,5,2,5,6,1,2,1,2,
IGNACIO JUNIOR HIGH SCHOOL,1540,IGNACIO 11 JT,M,,4254,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1432,3,5,1,5,5,1,3,2,3,
VISTA PEAK P-8 EXPLORATORY,180,ADAMS-ARAPAHOE 28J,M,,9083,0,0,0,,,,1,0,1,1433,3,4,1,4,4,2,4,3,3,
SHERIDAN ELEMENTARY,123,SHERIDAN 2,E,,3054,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1434,3,2,6,2,1,2,2,6,1,
LOTUS SCHOOL FOR EXCELLENCE,180,ADAMS-ARAPAHOE 28J,E,,5298,0,1,0,,,,1,0,1,1435,3,3,5,1,3,1,1,6,1,
PARK VIEW ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,6770,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1436,5,6,6,5,4,1,2,2,3,
FRONTIER CHARTER ACADEMY,970,CALHAN RJ-1,E,,35,0,1,0,,,,1,0,1,1437,6,6,6,6,6,1,1,3,1,
LA VETA JUNIOR-SENIOR HIGH SCHOOL,1400,LA VETA RE-2,M,,4864,0,0,0,,,,1,0,1,1437,6,6,5,6,7,1,1,1,1,
LIBERTY ELEMENTARY SCHOOL,3230,LIBERTY J-4,E,,5119,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1439,,6,6,6,,1,1,1,3,
CHERAW ELEMENTARY SCHOOL,2560,CHERAW 31,E,,1538,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1440,6,6,6,6,6,1,1,3,2,
JACK SWIGERT AEROSPACE ACADEMY,1010,COLORADO SPRINGS 11,M,,8457,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1441,2,3,1,3,3,2,3,3,2,
RONCALLI MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,,7481,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1442,5,5,3,5,5,1,1,2,1,
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1620,AGUILAR REORGANIZED 6,M,,66,0,0,0,,,,1,0,1,1443,1,1,1,1,2,2,6,2,1,
FLAGLER ELEMENTARY SCHOOL,1450,ARRIBA-FLAGLER C-20,E,,2956,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1444,6,6,6,5,6,1,1,1,1,
JOHN EVANS MIDDLE SCHOOL,3120,GREELEY 6,M,,4438,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1444,1,2,1,3,3,1,1,2,5,
JEFFERSON INTERMEDIATE SCHOOL,2530,ROCKY FORD R-2,E,,5114,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1444,5,5,6,5,5,1,1,2,1,
PEAKVIEW SCHOOL,1390,HUERFANO RE-1,E,,63,0,0,0,,,,1,0,1,1444,6,5,6,6,5,1,1,1,1,
LAKE COUNTY MIDDLE SCHOOL,1510,LAKE COUNTY R-1,E,,4901,0,0,0,,,,1,0,1,1444,5,4,5,5,5,1,1,1,1,
IRVING ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,4302,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1449,3,5,3,3,3,1,3,1,1,
GREENLEE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,3655,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1450,1,1,2,1,1,3,1,3,6,
EARLY COLLEGE HIGH SCHOOL AT ARVADA,8001,CHARTER SCHOOL INSTITUTE,M,,2837,0,1,0,,,,1,0,1,1451,4,5,1,5,6,1,1,1,1,
LAKE GEORGE CHARTER SCHOOL,2610,PARK COUNTY RE-2,E,,4908,0,1,0,,,,1,0,1,1451,5,5,6,3,5,1,1,1,1,
WELBY MONTESSORI SCHOOL,10,MAPLETON 1,E,,504,0,0,0,Turnaround Plan,Turnaround Plan,Denied Request to Reconsider,1,0,1,1453,3,3,3,2,3,1,2,1,1,
SHERRELWOOD ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,,7860,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1453,1,1,1,1,1,2,2,3,3,
HANOVER JUNIOR-SENIOR HIGH SCHOOL,1070,HANOVER 28,E,,3758,0,0,0,,,,1,0,1,1453,3,3,3,4,6,1,1,1,1,
SMITH ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,8006,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1456,1,1,1,1,1,1,1,3,1,
LEMUEL PITTS MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,,5048,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1457,3,3,1,3,5,1,1,1,1,
ARVADA K-8,1420,JEFFERSON COUNTY R-1,E,,109,0,0,0,,,,1,0,1,1457,1,3,2,1,5,1,1,2,1,
BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,822,0,0,0,,,,1,0,1,1457,3,3,5,3,3,1,1,1,1,
NORTHEAST ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,E,,6394,0,1,0,,,,1,0,1,1457,1,2,1,1,1,1,1,2,1,
VISTA PEAK P-8 EXPLORATORY,180,ADAMS-ARAPAHOE 28J,E,,9083,0,0,0,,,,1,0,1,1457,3,4,3,4,3,1,1,1,1,
V.I.L.A.S. ONLINE SCHOOL,260,VILAS RE-5,E,,9085,0,0,1,,,,1,0,1,1457,2,4,2,1,2,1,1,1,1,
IVER C. RANUM MIDDLE SCHOOL,70,WESTMINSTER 50,M,,7305,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1463,1,1,1,1,4,1,2,1,1,
FREED MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,,3206,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1464,2,3,1,3,3,1,1,1,1,
HOPE ON-LINE,900,DOUGLAS COUNTY RE 1,E,,3995,0,1,1,,,,1,0,1,1465,1,2,3,1,2,1,1,3,1,
HANSON ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,E,,6534,0,0,0,,,,1,0,1,1465,1,1,1,1,2,1,2,3,1,
JAMES H RISLEY MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,,4376,0,0,0,Turnaround Plan,Turnaround Plan,,1,0,1,1467,1,3,1,3,3,1,1,1,1,
ALAMOSA ELEMENTARY SCHOOL,100,ALAMOSA RE-11J,E,,115,,,,No CDE Plan Type,Improvement Plan,"New school, deferred to district rating",1,0,,,,,,,,,,,,
ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,100,ALAMOSA RE-11J,A,,368,,,,No CDE Plan Type,Improvement Plan,"New school, deferred to district rating",2,0,,,,,,,,,,,,
CENTER VIRTUAL ACADEMY,2810,CENTER 26 JT,H,,1368,,,1,No CDE Plan Type,Improvement Plan,"New school, deferred to district rating",2,0,,,,,,,,,,,,
LOVELAND CLASSICAL SCHOOL,1560,THOMPSON R-2J,A,,5235,,1,,No CDE Plan Type,Improvement Plan,"New school, deferred to district rating",2,0,,,,,,,,,,,,
PEAK VIRTUAL ACADEMY,2180,MONTROSE COUNTY RE-1J,A,,6262,,,1,No CDE Plan Type,Improvement Plan,"New school, deferred to district rating",2,0,,,,,,,,,,,,
STEVENS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,8223,,,,No CDE Plan Type,Improvement Plan,"New school, deferred to district rating",1,0,,,,,,,,,,,,
WHEAT RIDGE 5-8,1420,JEFFERSON COUNTY R-1,A,,9515,,,,No CDE Plan Type,Improvement Plan,"New school, deferred to district rating",2,0,,,,,,,,,,,,
AGATE ELEMENTARY SCHOOL,960,AGATE 300,E,,44,0,0,0,Performance Plan,Performance Plan,,1,1,,,,10,6,7,,,,,,
ACADEMY ONLINE HIGH SCHOOL,1040,ACADEMY 20,H,,110,0,0,1,Improvement Plan,Improvement Plan,,2,1,,,,,,,,,,,,
SMITH HIGH SCHOOL,1828,VALLEY RE-1,H,,202,0,0,0,Improvement Plan,Improvement Plan,,2,1,,,,,,,,,,,,
APS ONLINE SCHOOL,180,ADAMS-ARAPAHOE 28J,H,,219,0,0,1,Turnaround Plan,Turnaround Plan,,2,1,,,,,,,,,,,,
BATTLE ROCK CHARTER SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,,609,0,1,0,Improvement Plan,Improvement Plan,,1,1,,,,2,3,1,,6,3,11,6,
BRADFORD PRIMARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,950,0,0,0,Performance Plan,Performance Plan,,1,1,,,,12,12,12,,,,,,
BRANSON ELEMENTARY SCHOOL,1750,BRANSON REORGANIZED 82,E,,974,0,0,0,Performance Plan,Performance Plan,,1,1,,,,9,9,8,,,,,,
BRANSON UNDIVIDED HIGH SCHOOL,1750,BRANSON REORGANIZED 82,H,,978,0,0,0,Performance Plan,Performance Plan,,2,1,,,,,,,,,,,,
CAMPO ELEMENTARY SCHOOL,270,CAMPO RE-6,E,,1248,0,0,0,Performance Plan,Performance Plan,,1,1,,,,6,9,5,,8,12,8,3,
COLORADO PROVOST ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,,1877,0,1,1,Priority Improvement Plan,Priority Improvement Plan,,2,1,,,5,5,5,5,6,1,5,1,1,
LAMB ELEMENTARY SCHOOL,2010,CREEDE SCHOOL DISTRICT,E,,1962,0,0,0,Improvement Plan,Improvement Plan,,1,1,,,9,10,9,10,8,2,5,2,2,
EAGLE ACADEMY,900,DOUGLAS COUNTY RE 1,H,,2338,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,1,,,,,,,,,,,,46.4
FOUNTAIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,E,,2620,0,0,0,Performance Plan,Performance Plan,,1,1,,,,12,12,11,,,,,,
FLETCHER PRIMARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,2998,0,0,0,Turnaround Plan,Turnaround Plan,,1,1,,,,1,1,1,,,,,,
GOLD HILL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,3488,0,0,0,Improvement Plan,Improvement Plan,,1,1,,,,8,8,6,,,,,,
HORIZONS EXPLORATORY ACADEMY,500,SALIDA R-32,H,,4085,0,0,0,Performance Plan,Performance Plan,,2,1,,,,,,,,,,,,
IGNACIO ELEMENTARY SCHOOL,1540,IGNACIO 11 JT,E,,4250,0,0,0,Improvement Plan,Improvement Plan,,1,1,,,,5,6,5,,,,,,
JAMESTOWN ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,4386,0,0,0,Performance Plan,Performance Plan,,1,1,,,,12,12,9,,9,7,6,12,
KARVAL ELEMENTARY SCHOOL,1810,KARVAL RE-23,E,,4502,0,0,0,Improvement Plan,Improvement Plan,,1,1,,,,5,5,3,,,,,,
LIVERMORE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,5234,0,0,0,Performance Plan,Performance Plan,,1,1,,,12,12,13,12,12,10,6,9,12,
LONE STAR ELEMENTARY SCHOOL,3060,LONE STAR 101,E,,5254,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,1,,,,6,9,6,,1,1,1,1,
MATHEMATICS AND SCIENCE LEADERSHIP ACADEMY,880,DENVER COUNTY 1,E,,5608,0,0,0,Turnaround Plan,Turnaround Plan,,1,1,,,,1,3,3,,,,,,
MOFFAT ELEMENTARY SCHOOL,2800,MOFFAT 2,E,,5954,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,1,,,,9,6,5,,2,5,3,1,
MOUNTAIN VALLEY ELEMENTARY SCHOOL,2790,MOUNTAIN VALLEY RE 1,E,,6142,0,0,0,Performance Plan,Performance Plan,,1,1,,,,6,7,6,,6,6,1,13,
NORTH VALLEY SCHOOL FOR YOUNG ADULTS,10,MAPLETON 1,H,,6315,0,0,0,Turnaround Plan,Turnaround Plan,,2,1,,,,,,,,,,,,5.0999999999999996
ONLINE HIGH SCHOOL,880,DENVER COUNTY 1,H,,6509,0,0,1,Improvement Plan,Improvement Plan,,2,1,,,6,6,4,6,6,7,10,6,6,31.5
OPTIONS SCHOOL,180,ADAMS-ARAPAHOE 28J,H,,6546,0,0,0,Performance Plan,Performance Plan,,2,1,,,,,,,,,,,,59.1
PLEASANT VIEW ELEMENTARY SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,,7082,0,0,0,Performance Plan,Performance Plan,,1,1,,,,7,9,6,,10,10,8,10,
PRITCHETT ELEMENTARY SCHOOL,240,PRITCHETT RE-3,E,,7174,0,0,0,Performance Plan,Performance Plan,,1,1,,,7,7,6,7,8,5,6,5,1,
RED FEATHER LAKES ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,7290,0,0,0,Performance Plan,Performance Plan,,1,1,,,,7,8,6,,7,9,7,6,
ST. VRAIN COMMUNITY MONTOSSORI SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,7565,0,1,0,Improvement Plan,Improvement Plan,,1,1,,,,6,6,6,,,,,,
SILVERTON HIGH SCHOOL,2820,SILVERTON 1,H,,7904,0,0,0,Performance Plan,Performance Plan,,2,1,,,,,,,,,,,,
THE STUDIO SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,8211,0,0,0,Performance Plan,Performance Plan,,1,1,,,,8,8,6,,3,2,6,2,
STEM SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,8275,0,0,0,Performance Plan,Performance Plan,,1,1,,,,9,9,10,,6,10,3,6,
STOVE PRAIRIE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,8318,0,0,0,Performance Plan,Performance Plan,,1,1,,,9,10,10,8,12,6,5,6,7,
VILAS ELEMENTARY SCHOOL,260,VILAS RE-5,E,,9090,0,0,0,Performance Plan,Performance Plan,,1,1,,,,9,8,9,,7,9,3,11,
WESTERLY CREEK ELEMENTARY,880,DENVER COUNTY 1,E,,9425,0,0,0,Performance Plan,Performance Plan,,1,1,,,,9,10,9,,9,12,9,6,
FRONTIER CHARTER ACADEMY,970,CALHAN RJ-1,M,,35,0,1,0,,,,1,1,,,,9,6,6,,5,6,6,3,
ACHIEVEK12,1010,COLORADO SPRINGS 11,E,,269,0,0,1,,,,1,1,,,,,,,,,,,,
ACHIEVEK12,1010,COLORADO SPRINGS 11,H,,269,0,0,1,,,,2,1,,,,,,,,,,,,
ACHIEVEK12,1010,COLORADO SPRINGS 11,M,,269,0,0,1,,,,1,1,,,,5,1,5,,,,,,
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,H,,308,0,0,0,,,,2,1,,,,12,9,12,,12,9,10,12,96.3
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,M,,308,0,0,0,,,,1,1,,,8,9,7,8,9,6,6,9,5,
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,E,,517,0,1,0,,,,1,1,,,,10,9,8,,,1,,,
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,M,,517,0,1,0,,,,1,1,,,,8,5,11,,,,,,
BOULDER UNIVERSAL,480,BOULDER VALLEY RE 2,E,,930,0,0,1,,,,1,1,,,,,,,,,,,,
BOULDER UNIVERSAL,480,BOULDER VALLEY RE 2,H,,930,0,0,1,,,,2,1,,,,,,,,,,,,
BOULDER UNIVERSAL,480,BOULDER VALLEY RE 2,M,,930,0,0,1,,,,1,1,,,,,,,,,,,,
BUENA VISTA ONLINE ACADEMY,490,BUENA VISTA R-31,E,,1154,0,0,1,,,,1,1,,,,,,,,,,,,
BUENA VISTA ONLINE ACADEMY,490,BUENA VISTA R-31,H,,1154,0,0,1,,,,2,1,,,,,,,,,,,,
BUENA VISTA ONLINE ACADEMY,490,BUENA VISTA R-31,M,,1154,0,0,1,,,,1,1,,,,,,,,,,,,
CAMPO UNDIVIDED HIGH SCHOOL,270,CAMPO RE-6,H,,1252,0,0,0,,,,2,1,,,,,,,,,,,,
CAMPO UNDIVIDED HIGH SCHOOL,270,CAMPO RE-6,M,,1252,0,0,0,,,,1,1,,,,5,5,1,,3,5,6,2,
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,,1279,0,1,0,,,,2,1,,,,10,5,12,,10,6,12,12,
CARBON VALLEY ACADEMY,470,ST VRAIN VALLEY RE 1J,H,,1284,0,1,0,,,,2,1,,,,,,,,,,,,
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1869,0,1,0,,,,2,1,,,,,,,,,,,,
CORRIDOR COMMUNITY ACADEMY,50,BENNETT 29J,M,,1889,0,1,0,,,,1,1,,,,6,6,6,,9,9,9,9,
COLORADO CALVERT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,,1901,0,1,1,,,,1,1,,,5,6,4,5,6,1,5,1,1,
COLORADO CALVERT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,,1901,0,1,1,,,,1,1,,,,9,2,8,,,,,,
CREEDE MIDDLE/HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,M,,1966,0,0,0,,,,1,1,,,6,7,6,8,7,5,5,3,6,
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,H,,2018,0,1,0,,,,2,1,,,,10,10,9,,13,13,13,13,85
DELTA ACADEMY OF APPLIED LEARNING,870,DELTA COUNTY 50(J),E,,2152,0,0,0,,,,1,1,,,,10,11,10,,7,5,6,12,
DELTA ACADEMY OF APPLIED LEARNING,870,DELTA COUNTY 50(J),M,,2152,0,0,0,,,,1,1,,,7,6,9,9,6,12,8,12,12,
EDISON ACADEMY,1120,EDISON 54 JT,H,,2504,0,0,1,,,,2,1,,,,,,,,,,,,61.1
EDISON ACADEMY,1120,EDISON 54 JT,M,,2504,0,0,1,,,,1,1,,,,,,,,,,,,
EDISON JUNIOR-SENIOR HIGH SCHOOL,1120,EDISON 54 JT,H,,2526,0,0,0,,,,2,1,,,12,12,11,10,11,12,12,12,9,87.5
ESCUELA TLATELOLCO SCHOOL,880,DENVER COUNTY 1,E,,2789,0,0,0,,,,1,1,,,,,,,,,,,,
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,,2799,0,1,0,,,,2,1,,,,,,,,,,,,
FALCON VIRTUAL ACADEMY,1110,FALCON 49,E,,2877,0,0,1,,,,1,1,,,,,,,,,,,,
FALCON VIRTUAL ACADEMY,1110,FALCON 49,H,,2877,0,0,1,,,,2,1,,,,,,,,,,,,
FALCON VIRTUAL ACADEMY,1110,FALCON 49,M,,2877,0,0,1,,,,1,1,,,,6,5,6,,1,1,1,1,
FOCUS ACADEMY,1150,FREMONT RE-2,H,,2961,0,0,1,,,,2,1,,,,,,,,,,,,
FOCUS ACADEMY,1150,FREMONT RE-2,M,,2961,0,0,1,,,,1,1,,,,,,,,,,,,
GATEWAY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,3350,0,0,0,,,,1,1,,,,6,6,5,,7,6,6,7,
GATEWAY SCHOOL,2000,MESA COUNTY VALLEY 51,H,,3350,0,0,0,,,,2,1,,,,,,,,,,,,
GATEWAY SCHOOL,2000,MESA COUNTY VALLEY 51,M,,3350,0,0,0,,,,1,1,,,,5,5,6,,,,,,
GUFFEY CHARTER SCHOOL,2610,PARK COUNTY RE-2,E,,3681,0,1,0,,,,1,1,,,,5,6,4,,,,,,
GUFFEY CHARTER SCHOOL,2610,PARK COUNTY RE-2,M,,3681,0,1,0,,,,1,1,,,,6,2,6,,5,8,1,6,
INDIAN PEAKS CHARTER SCHOOL,1350,EAST GRAND 2,E,,4277,0,1,0,,,,1,1,,,5,6,5,5,5,1,1,1,1,
KARVAL ONLINE EDUCATION,1810,KARVAL RE-23,E,,4504,0,0,1,,,,1,1,,,,6,1,3,,1,1,1,1,
KARVAL JUNIOR-SENIOR HIGH SCHOOL,1810,KARVAL RE-23,H,,4506,0,0,0,,,,2,1,,,,5,5,7,,12,9,12,10,93.1
KARVAL JUNIOR-SENIOR HIGH SCHOOL,1810,KARVAL RE-23,M,,4506,0,0,0,,,,1,1,,,,6,5,6,,6,6,3,6,
KIM UNDIVIDED HIGH SCHOOL,1760,KIM REORGANIZED 88,M,,4694,0,0,0,,,,1,1,,,,6,5,6,,9,9,6,12,
LAKE CITY COMMUNITY SCHOOL,1380,HINSDALE COUNTY RE 1,E,,4899,0,0,0,,,,1,1,,,12,10,13,9,13,9,12,5,11,
LAKE CITY COMMUNITY SCHOOL,1380,HINSDALE COUNTY RE 1,H,,4899,0,0,0,,,,2,1,,,,13,13,10,,13,12,13,9,
LAKE CITY COMMUNITY SCHOOL,1380,HINSDALE COUNTY RE 1,M,,4899,0,0,0,,,,1,1,,,,11,7,12,,9,11,6,10,
LAKE GEORGE CHARTER SCHOOL,2610,PARK COUNTY RE-2,M,,4908,0,1,0,,,,1,1,,,,,,,,,,,,
LIBERTY COMMON CHARTER SCHOOL,1550,POUDRE R-1,H,,5120,0,1,0,,,,2,1,,,13,13,13,13,13,11,12,12,4,
LIBERTY JUNIOR-SENIOR HIGH SCHOOL,3230,LIBERTY J-4,M,,5123,0,0,0,,,,1,1,,,5,5,5,5,6,6,6,7,5,
LINCOLN CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,H,,5145,0,1,0,,,,2,1,,,,,,,,,,,,0
LONE STAR MIDDLE SCHOOL,3060,LONE STAR 101,E,,5238,0,0,0,,,,1,1,,,6,6,7,6,6,5,3,9,2,
LONE STAR MIDDLE SCHOOL,3060,LONE STAR 101,M,,5238,0,0,0,,,,1,1,,,9,8,9,9,9,9,5,9,10,
EDCSD: COLORADO CYBER SCHOOL,900,DOUGLAS COUNTY RE 1,E,,5405,0,0,1,,,,1,1,,,,6,5,5,,1,1,1,1,
EDCSD: COLORADO CYBER SCHOOL,900,DOUGLAS COUNTY RE 1,M,,5405,0,0,1,,,,1,1,,,5,6,4,6,5,1,1,1,1,
MARBLE CHARTER SCHOOL,1360,GUNNISON WATERSHED RE1J,E,,5577,0,1,0,,,,1,1,,,,8,12,9,,,,,,
MARBLE CHARTER SCHOOL,1360,GUNNISON WATERSHED RE1J,H,,5577,0,1,0,,,,2,1,,,,,,,,,,,,
MARBLE CHARTER SCHOOL,1360,GUNNISON WATERSHED RE1J,M,,5577,0,1,0,,,,1,1,,,,12,9,12,,9,9,9,9,
MOUNTAIN PHOENIX COMMUNITY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6139,0,1,0,,,,1,1,,,,7,5,3,,7,8,5,9,
MOUNTAIN PHOENIX COMMUNITY SCHOOL,1420,JEFFERSON COUNTY R-1,M,,6139,0,1,0,,,,1,1,,,,4,2,5,,,,,,
NORTH ROUTT CHARTER SCHOOL,2770,STEAMBOAT SPRINGS RE-2,M,,6363,0,1,0,,,,1,1,,,,9,6,10,,12,12,12,10,
MONTE VISTA ON-LINE ACADEMY,2740,MONTE VISTA C-8,M,,6520,0,0,1,,,,1,1,,,6,6,4,6,6,1,1,1,1,
PARADOX VALLEY CHARTER SCHOOL,2190,WEST END RE-2,M,,6718,0,1,0,,,,1,1,,,,,,,,,,,,
